from_grid,to_grid,avg_time
3274673,3274674,15
3860969,3860970,16
3418395,3420311,112
3640961,3639045,15
2937424,2937425,15
2872313,2870397,15
3636835,3636834,45
3420333,3420334,30
3623476,3621560,37
3533424,3533423,15
3546800,3546801,45
3569914,3569913,28
3186658,3186659,45
3284258,3284257,15
3142459,3142458,15
3640817,3642733,15
3734528,3734527,22
3571741,3571740,15
2021680,2023596,15
3426072,3426071,675
3853312,3855228,15
2552402,2552403,15
3454795,3452879,82
2730474,2730473,15
3721318,3721319,15
3583238,3585154,15
2602063,2603979,33
3424137,3424136,29
2563848,2563849,45
3504604,3502688,23
3540986,3539070,145
3588944,3590860,46
3502678,3502679,116
3824553,3824552,30
3803485,3803486,15
3682827,3682826,102
3692416,3692415,236
3583182,3585098,72
3778822,3776906,30
3629111,3627195,45
2646141,2648057,15
3709705,3711621,15
3587079,3587080,30
3031400,3029484,15
3086870,3084954,15
3495015,3493099,28
3280413,3280414,45
3454804,3454805,30
3809238,3809239,30
2575279,2573363,15
3529567,3529566,20
3500971,3499055,30
3525727,3525726,150
3562090,3562089,18
3518001,3516085,63
3598479,3600395,15
3533354,3531438,123
3115717,3115716,15
3541083,3539167,30
3686596,3686597,45
3596627,3596628,87
3460557,3458641,16
3519922,3519921,49
3084944,3084945,15
3376214,3378130,30
3472054,3472053,18
3611904,3609988,30
3608034,3606118,30
3525682,3527598,37
3431791,3431790,53
3207735,3207736,30
3818818,3816902,45
3634860,3632944,15
2933597,2933596,30
2586720,2586721,45
3211475,3209559,15
3500883,3500884,15
3640790,3640791,15
3644660,3644661,45
3581233,3581232,37
3420360,3422276,15
2037002,2037001,15
3773148,3773149,15
3489429,3491345,60
3194319,3194320,37
3518044,3516128,52
3583168,3583169,92
3602283,3600367,61
3725172,3727088,15
3311098,3311099,15
3564007,3564008,15
3529633,3529634,45
3610105,3610106,50
3554502,3554503,15
2594397,2592481,15
3326668,3324752,22
3420365,3418449,30
3535262,3535261,15
3533327,3533326,757
3610012,3608096,60
3466389,3466388,15
3452887,3452886,25
3525700,3523784,16
3539284,3539285,45
3535275,3535274,15
3516230,3516229,30
3211554,3213470,75
2916374,2918290,15
3491215,3491214,75
3638771,3638772,48
3487372,3485456,43
3552497,3554413,94
3577489,3575573,45
3565890,3563974,17
3324644,3326560,30
3324551,3324550,20
3786213,3784297,30
3518002,3516086,67
3246110,3246111,30
3701950,3701949,30
3646352,3646351,17
3347740,3347741,15
3508435,3506519,109
2958478,2958477,15
3610217,3610218,15
3629196,3627280,45
3541037,3541038,15
3707993,3707994,15
3031331,3029415,15
3320799,3320800,102
3544814,3542898,62
2709447,2707531,15
3521937,3523853,15
2795611,2797527,15
3199960,3199959,60
3374315,3376231,15
3472035,3473951,46
3724911,3724910,20
3625419,3625420,15
3316972,3316973,45
3521854,3523770,67
3525724,3527640,15
3602431,3602432,90
3613798,3613799,135
3332235,3332234,16
3571765,3571766,15
3336062,3336061,30
3426096,3426097,37
3479685,3479684,54
3667560,3669476,30
3596576,3596575,15
3611887,3613803,45
2975742,2975741,15
3493117,3493118,48
3594734,3594735,195
3613825,3613826,24
3518221,3518222,25
3437554,3435638,45
3403052,3403053,79
3541064,3541065,15
2598198,2598197,45
3399211,3399212,30
3661755,3661756,90
3318864,3320780,15
3583131,3583130,26
2970002,2971918,15
3657928,3657929,40
3673275,3671359,26
3652139,3654055,30
3646490,3644574,22
3500785,3500786,22
3596617,3594701,15
3412664,3412663,15
3491354,3491353,15
3627191,3627190,17
3450962,3449046,45
3566029,3564113,15
3554641,3556557,45
3634972,3634971,30
3542902,3544818,15
3721127,3721126,45
2548599,2548600,15
3581243,3581244,26
3797737,3795821,18
3481647,3479731,15
3493104,3493105,75
3324617,3326533,15
3548679,3550595,61
3443317,3443318,30
3408796,3408795,45
2366506,2366505,15
3581469,3581470,15
3604463,3606379,30
3673438,3673439,22
3715374,3715375,15
3292094,3292095,22
3071583,3069667,15
3204038,3202122,90
3418412,3416496,45
3202128,3204044,15
3650249,3650248,17
3326552,3326553,45
3445200,3445199,15
3462446,3462447,80
3544837,3544838,62
3657876,3657875,63
2814767,2814768,15
3688577,3688576,105
3615791,3613875,45
3326416,3324500,15
3441373,3439457,37
3292067,3292068,15
3548666,3550582,15
3127102,3127101,15
3635028,3635027,15
3435615,3435616,37
3510510,3508594,52
3623360,3623361,60
3523793,3521877,52
3569969,3569968,15
3508421,3508420,42
3462489,3464405,46
3533391,3533392,25
3518225,3518224,30
3211476,3211475,29
2778417,2780333,30
2931699,2933615,22
3389676,3389677,18
3357074,3357073,75
3548680,3548681,75
3311325,3309409,60
3556440,3556439,15
2653844,2653843,15
3650218,3650219,30
3495154,3495153,41
3600417,3598501,30
3366693,3366692,22
3634861,3634860,60
3604287,3602371,21
3403056,3403055,20
3546790,3546789,15
3669400,3667484,45
3387759,3387758,15
3583237,3583238,15
3643017,3643018,30
3757517,3755601,15
3489261,3491177,49
3514170,3514169,66
3303688,3305604,15
3473948,3473949,63
3245970,3245971,30
3596784,3596783,15
3577387,3579303,18
3481690,3481689,18
3673562,3673563,15
3178949,3180865,15
3598538,3596622,45
3385849,3383933,42
3063881,3063880,15
3663941,3663942,15
3328584,3328585,15
3527589,3529505,65
3610054,3610053,30
3491200,3491199,135
3655939,3655940,20
2912543,2914459,16
3558305,3556389,15
3640818,3640819,15
3500762,3498846,51
3347573,3347574,15
3742412,3742411,120
3290105,3288189,52
3502794,3500878,60
2987253,2989169,15
3085214,3083298,330
3424152,3424151,16
3518029,3516113,46
3491196,3493112,65
2956679,2956680,15
3517997,3517998,29
3213465,3213464,15
3468212,3468211,66
3542963,3542962,15
3539136,3539135,75
3525685,3523769,46
3454794,3454793,42
3596599,3596600,45
2876044,2876043,15
3355257,3355258,15
3690729,3692645,15
3598534,3598535,15
3556352,3558268,50
3497041,3497042,30
3487373,3487372,48
3363069,3364985,15
3588945,3588946,45
3452873,3450957,45
3563983,3562067,30
2998752,2996836,15
3567919,3569835,45
3242138,3244054,61
3173159,3173158,15
3874450,3874451,30
3587010,3587011,45
3485438,3485437,15
3500789,3500788,37
3230641,3230642,18
3548781,3548780,37
3531420,3531419,15
3312991,3314907,30
3519923,3518007,55
3529512,3527596,44
3031340,3031341,15
3579550,3577634,15
3730698,3730699,45
3495140,3495139,45
3324644,3324645,22
3550687,3552603,187
3539163,3539162,16
3571765,3573681,15
3633005,3633006,45
3226929,3226928,30
3677089,3677088,21
3073500,3075416,45
2590655,2590654,15
3500785,3502701,29
2540775,2540776,30
3152095,3152094,15
2734309,2736225,15
3816880,3816881,15
3542972,3542973,45
3412770,3412771,30
3636859,3636860,20
3485730,3483814,15
3613798,3615714,60
3278520,3280436,17
3286305,3284389,15
3525724,3525725,15
3506516,3504600,54
3337979,3337980,30
2626957,2626958,15
3510352,3512268,22
3257467,3257468,15
3305334,3303418,40
3303636,3301720,60
3625326,3625325,60
3518040,3518041,34
2628892,2630808,15
3311201,3311200,15
3177065,3177066,22
3472096,3472095,20
3562132,3562131,72
2958451,2956535,30
3539145,3539146,26
2090648,2092564,15
3209685,3211601,30
3404987,3404988,37
3684953,3684954,15
3841803,3843719,15
3236394,3236393,420
3554408,3554407,95
3025553,3023637,30
3493104,3495020,72
3186589,3186590,18
3606166,3606167,105
3734877,3732961,15
3552803,3554719,15
3644645,3644646,20
3301717,3301716,15
3644497,3642581,27
3196272,3196271,15
3514388,3514389,45
3774721,3776637,15
3677099,3677100,15
3558306,3558305,22
3439461,3437545,193
3489280,3487364,70
3663662,3663663,34
3523945,3522029,30
2586711,2586710,15
3606375,3608291,15
3449121,3449122,45
3722986,3722987,39
3468254,3468253,30
3514167,3516083,35
2945112,2943196,15
2033171,2035087,15
3376241,3378157,22
2525509,2527425,15
3495024,3495025,43
3634912,3636828,35
3654021,3652105,60
3171248,3173164,27
3454791,3454792,35
3616163,3616164,15
3418409,3418410,56
3688883,3688882,18
3464384,3464383,60
3420364,3420363,25
2136644,2138560,30
2247755,2249671,15
3638692,3638691,35
3558245,3558246,90
3496943,3498859,18
3577516,3575600,15
3577433,3575517,54
3518012,3518013,28
3575471,3575470,15
3552501,3550585,93
3188430,3188429,45
3617917,3617918,30
3441370,3441371,25
3619615,3619616,19
3428016,3428017,30
3205721,3205720,15
3543000,3543001,50
3525770,3525769,37
2814716,2814715,15
3569857,3569856,43
3491197,3491198,61
3518030,3518029,75
3541065,3542981,37
3592827,3592828,60
3184669,3186585,15
3506637,3506638,15
2605894,2603978,15
3404990,3404989,30
3583130,3581214,37
3657857,3659773,45
3704151,3706067,15
2927871,2927872,82
3648496,3646580,15
3521927,3521926,30
3571664,3573580,31
3606239,3606238,22
3249949,3251865,30
3418436,3418437,30
2918212,2920128,22
3700068,3700069,45
2096397,2098313,15
3395383,3397299,20
3655929,3655928,33
3539103,3539104,80
3751770,3749854,15
3558473,3556557,15
3633065,3633064,15
3090790,3092706,15
3550664,3548748,30
3301714,3301715,15
3075420,3075421,22
3715332,3715333,25
3554463,3554462,45
3265088,3265087,15
3449051,3449052,15
3330258,3330257,16
3311283,3311282,15
3506558,3504642,45
3732582,3732581,15
3073503,3071587,15
3336002,3337918,30
3299573,3299572,15
3205954,3205955,45
3154011,3155927,15
3404976,3403060,16
3648329,3648328,60
3694338,3694337,15
3663680,3663679,30
3429868,3431784,45
3546773,3548689,22
3404963,3404962,33
3435657,3435658,32
3414557,3414556,15
3512259,3512260,79
3583335,3583336,15
3516129,3516130,31
3581362,3579446,68
3339983,3339984,30
3728809,3726893,60
3330380,3330381,150
3431816,3431817,60
3094621,3092705,15
3435630,3435631,17
2828180,2828179,15
2749573,2747657,15
3648408,3650324,15
3548665,3548666,74
3462461,3462462,37
3238424,3236508,15
3328459,3328460,15
3175287,3175286,15
3445228,3443312,39
3450977,3450976,15
3544838,3544839,34
3472036,3472037,35
3397345,3397346,42
2937469,2937468,375
3803528,3803529,15
2581010,2581011,22
3600709,3598793,30
3290045,3290046,60
3552691,3554607,15
3481644,3483560,28
3309271,3309272,60
3100291,3100290,15
2672981,2674897,15
3581265,3579349,65
3588987,3590903,80
3594622,3596538,45
3294001,3294002,15
3295742,3297658,20
3542903,3544819,20
2148141,2148142,15
3527574,3529490,65
3336086,3336087,15
3606169,3606168,60
3535298,3535299,45
2582893,2582894,22
2864663,2864664,15
3215318,3215317,18
3610039,3610038,15
3728976,3727060,15
3542930,3542931,16
3324537,3322621,15
3571677,3573593,15
3765211,3765212,15
3470185,3470186,40
3504613,3504614,56
3535271,3537187,51
3491312,3491311,15
3652253,3650337,240
3529554,3529553,75
3512263,3512262,31
3569830,3569829,15
3468263,3468264,615
3625284,3623368,60
3529637,3527721,30
3466328,3466329,15
3652138,3652139,15
3508529,3510445,15
3514334,3516250,15
3577392,3575476,37
3339872,3339873,20
3497101,3495185,15
3608143,3610059,15
3613783,3615699,15
3552528,3550612,15
3351336,3351335,15
2958493,2956577,30
3477848,3477847,46
3602349,3604265,15
2839637,2837721,15
3234417,3234416,30
2703643,2701727,15
3602432,3602433,45
3322622,3322623,15
3565960,3565959,20
3594692,3594693,45
3495248,3495249,30
3521857,3521856,87
3255578,3253662,15
3520017,3521933,18
3518039,3519955,42
3665825,3665824,15
3278539,3278538,15
3244031,3244032,45
2563861,2563862,15
3598483,3598482,15
3533406,3533407,55
3516314,3516313,30
3610109,3608193,30
3671619,3671618,17
3600418,3600417,15
3433726,3433725,15
3654355,3654354,30
3650555,3648639,30
3552510,3554426,45
3527644,3527645,16
3575498,3573582,43
3571714,3569798,15
3223028,3223027,15
2918216,2918215,25
2968095,2966179,15
3556437,3556438,61
3562072,3562073,30
3521830,3519914,51
3644563,3644564,30
3523765,3521849,66
3596600,3598516,15
3575484,3575483,37
3548780,3546864,15
3604324,3604325,37
3874451,3876367,15
3521843,3519927,23
3046905,3048821,15
3244054,3242138,21
3608077,3606161,55
3552524,3552525,40
3495042,3495041,31
3640636,3642552,60
3560237,3562153,22
3318795,3318796,20
2876142,2874226,15
3215331,3215330,45
3493243,3495159,15
3550589,3550590,15
3527592,3525676,47
3589255,3589254,60
3573755,3573756,19
3744319,3744320,15
3533340,3533339,64
3590852,3590853,23
3592787,3592788,33
3558302,3560218,39
3562086,3564002,50
3556367,3558283,15
3558259,3560175,75
3510495,3508579,15
2613508,2615424,30
3209564,3207648,15
3431830,3433746,30
3487345,3485429,68
3579406,3581322,30
3615788,3617704,49
3523817,3523818,30
2651895,2651894,15
3481703,3479787,48
3673539,3673538,15
3506642,3506641,30
3571755,3569839,15
3667494,3667493,15
3830310,3830311,20
3560251,3560252,30
3487428,3487427,15
3546731,3546732,102
3753704,3751788,15
3529568,3529567,17
3615778,3613862,150
3236460,3236461,30
3508589,3508588,27
3424151,3424150,15
3460540,3462456,41
3611943,3613859,30
3713526,3713525,30
3535345,3535344,165
3531460,3529544,35
3640738,3640737,30
3295784,3295785,40
3242085,3240169,45
3248007,3246091,30
3495150,3495151,55
3495014,3493098,77
3495029,3495028,69
3700003,3700002,60
3554547,3552631,15
3004501,3006417,22
3773149,3775065,22
3315055,3313139,30
3638747,3636831,15
3450945,3450946,30
3554492,3554491,15
3610189,3612105,15
3265117,3265116,90
3525769,3523853,22
3638911,3640827,30
3587000,3585084,405
3334087,3332171,15
3604228,3604229,15
3769043,3770959,15
3694292,3696208,15
3542916,3544832,23
3504600,3506516,73
3426059,3424143,45
3585159,3585160,45
3690422,3692338,15
2808952,2808951,15
3581220,3579304,30
3617751,3617752,15
3186617,3186618,15
2548404,2548405,15
3759466,3759465,20
3682962,3682963,22
3506609,3508525,30
3456725,3456726,18
3631032,3631031,30
3583181,3585097,122
3554613,3554614,45
3535257,3535258,30
3435619,3435618,82
3541009,3542925,59
3381993,3380077,15
3688545,3690461,15
3713801,3715717,15
3491353,3489437,15
3086922,3088838,22
3065833,3063917,15
3125456,3125457,30
2968092,2970008,30
3429979,3429980,45
3581428,3581429,45
2525425,2525426,30
3694310,3692394,15
3667509,3665593,30
3692399,3694315,15
3527603,3527604,33
3405004,3405003,15
3315054,3315053,72
3357154,3357155,60
3516227,3518143,45
3583270,3583269,30
2786078,2786079,15
2864664,2864665,15
3613866,3615782,17
3546734,3544818,15
3512264,3512263,39
3506515,3504599,24
2148142,2150058,15
3657917,3657916,66
3184601,3184602,15
1971897,1973813,15
3625339,3623423,15
3550706,3548790,20
3512250,3512249,30
3681212,3681211,15
3324495,3324494,67
2684524,2686440,15
3040893,3042809,15
2977755,2979671,30
3259354,3259353,30
3539117,3539118,39
3657913,3659829,43
3659824,3659823,45
3460525,3460526,110
3627316,3625400,375
3613884,3611968,65
3759462,3759463,30
3590939,3589023,60
3627232,3627231,15
2569472,2569473,30
2678747,2680663,15
3389647,3389648,15
2902921,2904837,15
3040912,3038996,15
3433709,3435625,40
3349540,3347624,30
3472022,3473938,95
3648422,3650338,90
3447148,3445232,21
3414570,3414569,90
3746383,3746382,60
3678929,3677013,45
3449056,3449055,35
3508431,3508432,112
3742422,3742423,45
2837727,2837726,30
3475923,3475924,45
3583269,3581353,15
3242280,3240364,25
3175286,3173370,15
3682837,3684753,22
3406921,3408837,30
2573312,2573313,60
3673243,3675159,37
3305330,3305331,30
3724907,3724908,15
3512301,3512302,36
3602324,3600408,90
3117592,3117593,30
2774534,2774533,15
3361009,3362925,45
3583200,3581284,30
3487359,3485443,20
3558413,3558414,22
3650208,3650207,30
3655985,3655984,18
3560320,3560321,17
3521825,3523741,17
3636845,3636846,15
3295853,3295854,22
2786077,2786078,20
3606379,3604463,54
3428002,3428003,27
3481634,3481633,75
3134790,3134789,15
2615429,2615430,15
3546735,3544819,15
3119434,3117518,15
3569742,3571658,60
3678985,3678984,30
3083038,3084954,15
3617681,3619597,48
3841802,3841803,25
3657914,3659830,50
3677377,3679293,15
3738361,3736445,15
2971886,2969970,135
3493103,3495019,36
3544828,3542912,15
2657646,2655730,15
3508449,3508448,57
2590530,2590529,30
3475857,3475856,75
3496957,3496958,30
2665313,2665314,15
3684954,3686870,15
3221018,3222934,15
3688882,3688881,15
3776910,3778826,15
3433713,3433712,15
2814715,2814714,15
3544949,3544950,17
3452870,3454786,225
3506572,3506571,15
3176981,3176982,15
2912474,2914390,15
3583126,3585042,75
3518025,3518026,49
3100290,3098374,15
2860883,2858967,15
2937437,2937438,15
3253750,3255666,15
3493121,3491205,45
3533368,3533367,52
3592759,3592760,150
3462557,3462558,30
3500776,3500775,34
2738142,2736226,15
3502683,3502682,48
3569812,3569813,15
3617667,3617668,90
3259548,3259547,50
3556451,3558367,15
3579383,3577467,45
2588641,2590557,135
3424202,3426118,60
3301491,3303407,15
3556315,3556314,52
3592704,3594620,46
3665584,3665585,17
3225042,3225043,20
3811149,3809233,15
3485451,3485450,25
3594720,3594721,15
3661714,3661715,15
3284296,3284297,30
3178897,3178896,15
3563980,3565896,24
3263205,3263206,15
3857159,3855243,15
3610189,3610190,30
3466290,3466289,55
3255536,3255535,15
3535261,3533345,17
3736663,3736662,370
2994920,2996836,16
3228669,3226753,30
3506697,3506696,21
3288235,3288236,25
3495014,3495013,52
3667491,3667492,22
3552511,3552512,86
3353252,3355168,45
2588617,2588616,30
3592708,3592707,95
3732980,3732981,15
3027499,3029415,15
3675099,3673183,15
2920207,2920206,87
3611960,3610044,60
3565891,3565890,46
3498868,3496952,47
2705560,2707476,15
3525766,3527682,17
3554404,3556320,36
3552496,3552497,69
3571653,3571652,45
3284244,3282328,37
3529535,3531451,27
3746239,3746240,15
3609998,3609997,71
3502720,3504636,45
3550687,3550688,15
2939335,2937419,30
3472053,3470137,15
3368571,3368570,30
3355288,3353372,15
3623500,3625416,15
3498850,3500766,66
2580986,2579070,120
3569829,3567913,32
3152095,3150179,165
3529679,3527763,15
3608128,3608129,16
3587028,3587027,15
3560389,3562305,30
3508417,3510333,21
3215382,3215383,75
3416464,3416463,16
3531596,3531597,20
3548684,3546768,45
3535247,3533331,52
3245918,3244002,75
3730698,3732614,26
3470118,3470117,17
2730473,2730472,15
3542906,3542905,52
3608101,3608102,15
2050406,2050405,15
3585149,3583233,15
1971874,1971873,15
3642710,3642711,15
3518151,3518152,31
3514240,3514239,15
3560213,3560212,36
3211555,3211556,30
2778365,2776449,15
3142510,3144426,30
3769042,3769043,15
2849256,2847340,15
3506516,3506515,27
3493316,3491400,15
3483537,3483538,120
3512305,3510389,56
3667504,3669420,35
3508672,3508671,15
3546749,3546748,32
3389773,3389774,15
3146333,3146332,16
3539136,3537220,51
3621565,3621566,15
3502693,3504609,30
3621522,3621523,55
3531402,3533318,32
3548711,3546795,15
3391559,3391558,20
2964222,2966138,30
3623667,3623668,15
3315064,3316980,15
3615694,3615693,15
3696407,3696408,40
3573758,3571842,15
3684734,3684733,15
3803527,3803528,45
3468208,3470124,52
3560240,3560239,30
3347573,3349489,30
3510343,3510342,81
3742412,3740496,25
2525508,2525509,15
3326412,3328328,20
3527589,3527590,54
3207768,3205852,975
3704150,3704151,30
3456711,3456712,22
3447144,3447145,15
3690478,3692394,42
3144375,3144376,15
2923962,2925878,15
2939362,2937446,15
3437541,3435625,21
3299751,3299752,45
3701923,3701922,37
3175297,3177213,30
3575736,3575735,15
3648296,3650212,15
2531107,2531106,15
3393503,3395419,25
3295788,3293872,30
3518234,3518235,30
2602064,2602065,15
3404987,3406903,90
3129037,3127121,15
2684529,2682613,60
3550635,3550634,15
3301672,3303588,45
3395411,3395412,20
3274952,3274953,15
3184684,3184685,15
3606378,3606377,30
2833993,2835909,18
3711574,3711575,60
3610327,3610328,75
3404991,3403075,32
3717230,3717229,15
3581216,3581217,42
3514222,3514223,30
2393330,2395246,30
3334086,3334085,15
3148264,3148265,22
3307418,3307419,16
3127116,3127115,15
3408823,3408822,52
3152091,3152092,19
3715322,3713406,15
3715568,3717484,15
3485434,3487350,46
3621662,3623578,22
3487369,3489285,73
3510356,3510355,80
3546745,3548661,62
2993003,2991087,15
3613857,3611941,60
3660005,3660004,15
3579536,3577620,15
3508514,3510430,15
3219139,3221055,15
3385941,3387857,18
3552525,3554441,39
3404991,3404990,30
2922058,2922057,15
2981499,2981500,52
3539066,3537150,25
3495043,3493127,75
3535326,3535327,15
3732818,3730902,15
3456812,3454896,45
3493201,3493202,30
3560310,3560309,16
2822430,2820514,15
3713457,3711541,21
3704220,3706136,15
3719244,3719245,30
3677075,3675159,42
3715331,3715332,27
3523775,3525691,44
3186519,3188435,15
3824552,3822636,15
3661676,3661675,1155
3004478,3002562,15
3744086,3742170,15
3102254,3102253,15
3514407,3514406,30
3629192,3631108,67
3658043,3656127,15
3655957,3655956,35
3512427,3514343,30
3573824,3573825,15
2571397,2571396,15
3786486,3788402,15
3493108,3491192,64
3600372,3600373,16
3433698,3433697,48
2914381,2916297,45
3554478,3552562,84
2753407,2751491,15
3516105,3516104,78
3652254,3652253,52
3587080,3588996,15
3023670,3025586,22
3456702,3454786,22
3500771,3500772,73
3518015,3518014,60
3585102,3587018,20
3537155,3535239,53
3828395,3828394,15
3422253,3422254,30
3475885,3475884,37
3361152,3359236,15
3654018,3655934,19
3590828,3588912,30
3683129,3685045,15
2617381,2615465,15
3238295,3238296,30
3318744,3318743,37
3682754,3682755,15
3608058,3608059,15
3709704,3709705,30
3552552,3552553,15
3502697,3500781,60
3565887,3567803,15
3265112,3265113,15
3634931,3633015,15
3713624,3713623,30
2552290,2552291,15
3703899,3703900,75
3176995,3178911,23
3224935,3224934,45
3565932,3565931,25
3462450,3462449,42
2768780,2768781,22
3512375,3512374,15
3226762,3224846,15
3217292,3217291,15
3554487,3554488,30
2657633,2655717,15
3521867,3521868,17
3048821,3046905,22
3598455,3598454,37
3017872,3015956,60
3619815,3619814,15
3611914,3613830,35
3606277,3608193,45
3454780,3452864,77
3464369,3462453,23
2653774,2651858,15
3531429,3533345,19
3529494,3531410,15
3602282,3602281,45
3537182,3537181,30
3276636,3276637,20
3575499,3575498,15
3542976,3542975,52
3309159,3309160,57
3550660,3550661,15
3611946,3611945,15
3529564,3529565,30
3263502,3263501,135
3577434,3577433,31
3636832,3636833,17
3650416,3650415,30
2705559,2705560,15
2925955,2924039,80
3847556,3847555,127
2774488,2774489,15
3563970,3562054,90
3175051,3175050,15
3276623,3276624,15
2839651,2839650,15
3602404,3602405,30
3560209,3562125,120
3602334,3604250,41
3521858,3519942,63
3454864,3452948,30
3525658,3525657,36
3251693,3249777,37
3598507,3600423,15
2667317,2667318,15
3523750,3521834,48
3456729,3456728,31
3604203,3602287,21
3234418,3232502,30
2613536,2613537,15
3502781,3502780,50
3552622,3552623,30
3686585,3684669,45
3585131,3587047,15
2799400,2797484,30
3479768,3479767,36
2761112,2763028,22
3391597,3391598,45
3521872,3519956,83
3138684,3138685,15
3357060,3357059,45
3556338,3556339,217
2924034,2922118,15
3288124,3288125,206
3546759,3548675,29
2889545,2889546,15
3190514,3190515,30
3303535,3303536,165
3272795,3274711,37
3648325,3650241,17
2906798,2906797,15
3025652,3025651,15
2971899,2971898,30
3466329,3466330,38
3525807,3527723,34
3581215,3583131,30
2581079,2581080,15
3619814,3617898,15
3573911,3571995,15
3719396,3721312,120
3638730,3638731,15
3146346,3146345,61
3299890,3299891,15
2937372,2935456,30
3587023,3587024,75
3581316,3581317,16
3521993,3523909,15
3309312,3309313,15
2563847,2563848,15
3464356,3462440,67
3571635,3573551,15
3516091,3516090,85
3127376,3127377,30
3537265,3537264,20
3487383,3487384,18
2845424,2847340,30
3468221,3470137,15
3533322,3535238,18
3366898,3366899,45
3516268,3516269,30
3435699,3437615,51
3410740,3412656,73
3223023,3223024,30
3313201,3313202,45
3586972,3586971,15
3590842,3590841,45
3382002,3383918,25
3751711,3751712,15
3182684,3180768,15
3108002,3106086,15
3746003,3746004,15
3677088,3677087,15
2772669,2772668,15
3506511,3506512,36
3470129,3470130,31
2975699,2975698,120
3215262,3213346,15
3477773,3477774,37
3518224,3516308,30
3106091,3108007,15
3558319,3558318,60
3307228,3307227,22
2979583,2979582,15
3698083,3698082,41
3621578,3621579,17
3146343,3148259,36
3625572,3625573,15
3449065,3449066,45
3860968,3860969,19
3311312,3311311,15
3224846,3226762,15
3318896,3316980,24
3403055,3401139,105
3665560,3665559,15
3763220,3765136,17
3251888,3249972,15
3477806,3475890,18
3328389,3328390,15
3085042,3086958,15
3613894,3613895,15
3307368,3305452,30
2923961,2923962,15
3487647,3489563,15
3663667,3663666,47
3278789,3276873,16
3617657,3617656,45
2579061,2580977,150
3462475,3462476,60
3328352,3328351,15
3552696,3550780,45
3539090,3539091,222
3433737,3433738,45
3387727,3387728,45
3784288,3786204,15
3690412,3690411,45
2579065,2577149,100
3525738,3527654,15
3725144,3727060,37
2680631,2680630,15
3506512,3506513,59
3512467,3512468,17
3730712,3730713,30
3075421,3077337,15
2663433,2665349,15
3771228,3771229,15
3644493,3646409,30
3215313,3215314,15
3506721,3508637,22
3713550,3713551,25
3481606,3481605,66
3383913,3383912,150
3655995,3655996,19
3130930,3130931,45
3634871,3634872,30
